ID,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total
1,45,49,49,65,65,45,318
2,60,62,63,80,80,60,405
3,80,82,83,100,100,80,525
4,39,52,43,60,50,65,309
5,58,64,58,80,65,80,405
6,78,84,78,109,85,100,534
7,44,48,65,50,64,43,314
8,59,63,80,65,80,58,405
9,79,83,100,85,105,78,530
10,45,30,35,20,20,45,195
11,50,20,55,25,25,30,205
12,60,45,50,90,80,70,395
13,40,35,30,20,20,50,195
14,45,25,50,25,25,35,205
15,65,90,40,45,80,75,395
16,40,45,40,35,35,56,251
17,63,60,55,50,50,71,349
18,83,80,75,70,70,101,479
19,30,56,35,25,35,72,253
20,55,81,60,50,70,97,413
21,40,60,30,31,31,70,262
22,65,90,65,61,61,100,442
23,35,60,44,40,54,55,288
24,60,95,69,65,79,80,448
25,35,55,40,50,50,90,320
26,60,90,55,90,80,110,485
27,50,75,85,20,30,40,300
28,75,100,110,45,55,65,450
29,55,47,52,40,40,41,275
30,70,62,67,55,55,56,365
31,90,92,87,75,85,76,505
32,46,57,40,40,40,50,273
33,61,72,57,55,55,65,365
34,81,102,77,85,75,85,505
35,70,45,48,60,65,35,323
36,95,70,73,95,90,60,483
37,38,41,40,50,65,65,299
38,73,76,75,81,100,100,505
39,115,45,20,45,25,20,270
40,140,70,45,85,50,45,435
41,40,45,35,30,40,55,245
42,75,80,70,65,75,90,455
43,45,50,55,75,65,30,320
44,60,65,70,85,75,40,395
45,75,80,85,110,90,50,490
46,35,70,55,45,55,25,285
47,60,95,80,60,80,30,405
48,60,55,50,40,55,45,305
49,70,65,60,90,75,90,450
50,10,55,25,35,45,95,265
51,35,100,50,50,70,120,425
52,40,45,35,40,40,90,290
53,65,70,60,65,65,115,440
54,50,52,48,65,50,55,320
55,80,82,78,95,80,85,500
56,40,80,35,35,45,70,305
57,65,105,60,60,70,95,455
58,55,70,45,70,50,60,350
59,90,110,80,100,80,95,555
60,40,50,40,40,40,90,300
61,65,65,65,50,50,90,385
62,90,95,95,70,90,70,510
63,25,20,15,105,55,90,310
64,40,35,30,120,70,105,400
65,55,50,45,135,95,120,500
66,70,80,50,35,35,35,305
67,80,100,70,50,60,45,405
68,90,130,80,65,85,55,505
69,50,75,35,70,30,40,300
70,65,90,50,85,45,55,390
71,80,105,65,100,70,70,490
72,40,40,35,50,100,70,335
73,80,70,65,80,120,100,515
74,40,80,100,30,30,20,300
75,55,95,115,45,45,35,390
76,80,120,130,55,65,45,495
77,50,85,55,65,65,90,410
78,65,100,70,80,80,105,500
79,90,65,65,40,40,15,315
80,95,75,110,100,80,30,490
81,25,35,70,95,55,45,325
82,50,60,95,120,70,70,465
83,52,90,55,58,62,60,377
84,35,85,45,35,35,75,310
85,60,110,70,60,60,110,470
86,65,45,55,45,70,45,325
87,90,70,80,70,95,70,475
88,80,80,50,40,50,25,325
89,105,105,75,65,100,50,500
90,30,65,100,45,25,40,305
91,50,95,180,85,45,70,525
92,30,35,30,100,35,80,310
93,45,50,45,115,55,95,405
94,60,65,60,130,75,110,500
95,35,45,160,30,45,70,385
96,60,48,45,43,90,42,328
97,85,73,70,73,115,67,483
98,30,105,90,25,25,50,325
99,55,130,115,50,50,75,475
100,40,30,50,55,55,100,330
101,60,50,70,80,80,150,490
102,60,40,80,60,45,40,325
103,95,95,85,125,75,55,530
104,50,50,95,40,50,35,320
105,60,80,110,50,80,45,425
106,50,120,53,35,110,87,455
107,50,105,79,35,110,76,455
108,90,55,75,60,75,30,385
109,40,65,95,60,45,35,340
110,65,90,120,85,70,60,490
111,80,85,95,30,30,25,345
112,105,130,120,45,45,40,485
113,250,5,5,35,105,50,450
114,65,55,115,100,40,60,435
115,105,95,80,40,80,90,490
116,30,40,70,70,25,60,295
117,55,65,95,95,45,85,440
118,45,67,60,35,50,63,320
119,80,92,65,65,80,68,450
120,30,45,55,70,55,85,340
121,60,75,85,100,85,115,520
122,40,45,65,100,120,90,460
123,70,110,80,55,80,105,500
124,65,50,35,115,95,95,455
125,65,83,57,95,85,105,490
126,65,95,57,100,85,93,495
127,65,125,100,55,70,85,500
128,75,100,95,40,70,110,490
129,20,10,55,15,20,80,200
130,95,125,79,60,100,81,540
131,130,85,80,85,95,60,535
132,48,48,48,48,48,48,288
133,55,55,50,45,65,55,325
134,130,65,60,110,95,65,525
135,65,65,60,110,95,130,525
136,65,130,60,95,110,65,525
137,65,60,70,85,75,40,395
138,35,40,100,90,55,35,355
139,70,60,125,115,70,55,495
140,30,80,90,55,45,55,355
141,60,115,105,65,70,80,495
142,80,105,65,60,75,130,515
143,160,110,65,65,110,30,540
144,90,85,100,95,125,85,580
145,90,90,85,125,90,100,580
146,90,100,90,125,85,90,580
147,41,64,45,50,50,50,300
148,61,84,65,70,70,70,420
149,91,134,95,100,100,80,600
150,106,110,90,154,90,130,680
151,100,100,100,100,100,100,600
